account_id,customer_id,account_number,account_type,currency,balance,account_status
1,1,FR815457766653353095587108,CURRENT_ACCOUNT,EUR,33436.27,ACTIVE
2,2,GB913595905110640748414852,SAVINGS_ACCOUNT,PLN,11918.27,ACTIVE
3,2,GB661538624843230580998780,BUSSINESS_ACCOUNT,EUR,12134.71,INACTIVE
4,3,US341618021492319235151473,BUSSINESS_ACCOUNT,GBP,48168.58,INACTIVE
5,3,US883656553826924912339508,CURRENT_ACCOUNT,USD,48921.91,INACTIVE
6,4,GB267167327089433871616808,SAVINGS_ACCOUNT,PLN,7778.27,INACTIVE
7,5,US239428379536770264483743,SAVINGS_ACCOUNT,USD,38125.52,ACTIVE
8,6,FR170462818252106142589258,CURRENT_ACCOUNT,PLN,11165.64,INACTIVE
9,7,GB810329480788986331094447,SAVINGS_ACCOUNT,GBP,35551.28,ACTIVE
10,8,FR589850640636225380023298,BUSSINESS_ACCOUNT,GBP,12649.54,ACTIVE
11,8,FR148672574498575864757905,CURRENT_ACCOUNT,EUR,48424.59,ACTIVE
12,9,DE267166996415740562666805,SAVINGS_ACCOUNT,PLN,3739.36,ACTIVE
13,10,FR224382016789600211880688,BUSSINESS_ACCOUNT,PLN,12575.22,ACTIVE
14,10,FR293030042093683429673199,CURRENT_ACCOUNT,GBP,19240.6,ACTIVE
15,11,PL478502086194170037781403,CURRENT_ACCOUNT,EUR,36015.02,ACTIVE
16,12,PL882113974858285927245130,BUSSINESS_ACCOUNT,GBP,40137.85,ACTIVE
17,12,PL494000748822359437726474,SAVINGS_ACCOUNT,USD,39584.88,ACTIVE
18,13,US481558304032493692757294,BUSSINESS_ACCOUNT,EUR,17294.44,INACTIVE
19,14,US847343009136708837818556,SAVINGS_ACCOUNT,PLN,40178.65,ACTIVE
20,15,US910267125310896693282865,SAVINGS_ACCOUNT,USD,7098.84,INACTIVE
21,16,FR776736671084197848480297,BUSSINESS_ACCOUNT,PLN,10514.56,INACTIVE
22,17,FR406282666753544413618734,SAVINGS_ACCOUNT,USD,26878.93,ACTIVE
23,18,DE354191600102170336130459,CURRENT_ACCOUNT,EUR,8052.4,INACTIVE
24,19,FR361299024442677656297824,SAVINGS_ACCOUNT,EUR,41321.96,ACTIVE
25,20,DE910716398998168665355698,BUSSINESS_ACCOUNT,USD,39859.87,INACTIVE
26,21,PL158978966053340736519609,CURRENT_ACCOUNT,PLN,22006.86,ACTIVE
27,22,ES816043320115130923076025,CURRENT_ACCOUNT,GBP,5469.27,INACTIVE
28,23,FR403530066269778121467555,SAVINGS_ACCOUNT,USD,15297.5,INACTIVE
29,23,FR250849105639653252663883,BUSSINESS_ACCOUNT,EUR,46265.93,INACTIVE
30,24,PL399223696851259129518747,BUSSINESS_ACCOUNT,USD,40525.83,ACTIVE
31,25,FR452989948754750326807313,CURRENT_ACCOUNT,USD,22684.06,INACTIVE
32,25,FR456486339993588515024969,BUSSINESS_ACCOUNT,GBP,9609.84,ACTIVE
33,26,US146460808048461279535171,SAVINGS_ACCOUNT,PLN,27758.76,INACTIVE
34,27,ES620465737148714955722071,CURRENT_ACCOUNT,GBP,24151.94,ACTIVE
35,28,DE418271014596532543008782,CURRENT_ACCOUNT,GBP,48031.48,INACTIVE
36,29,PL939397149945507476388234,CURRENT_ACCOUNT,GBP,13567.79,ACTIVE
37,30,PL616033533094444313406017,BUSSINESS_ACCOUNT,USD,32750.83,ACTIVE
38,30,PL643502409540760546554989,BUSSINESS_ACCOUNT,PLN,9944.48,ACTIVE
39,31,DE456756793776708337289725,BUSSINESS_ACCOUNT,GBP,46708.83,INACTIVE
40,32,FR343486961054461841372212,BUSSINESS_ACCOUNT,PLN,38504.46,INACTIVE
41,32,FR617398189419811511947768,CURRENT_ACCOUNT,PLN,16074.24,ACTIVE
42,33,FR488688614190930662614833,CURRENT_ACCOUNT,PLN,49167.95,ACTIVE
43,33,FR748735850892181071652524,CURRENT_ACCOUNT,GBP,14590.71,INACTIVE
44,34,PL597436574519276729137348,CURRENT_ACCOUNT,USD,14658.67,INACTIVE
45,35,DE848285661690947230755941,SAVINGS_ACCOUNT,PLN,40821.58,ACTIVE
46,35,DE718955675343630227448232,BUSSINESS_ACCOUNT,USD,25583.31,ACTIVE
47,36,DE833485625669796568993871,BUSSINESS_ACCOUNT,EUR,35972.16,INACTIVE
48,36,DE352775792648460789938596,CURRENT_ACCOUNT,GBP,33586.83,INACTIVE
49,37,ES799338500275331095397697,SAVINGS_ACCOUNT,PLN,49987.96,ACTIVE
50,38,FR419933211863212462267076,BUSSINESS_ACCOUNT,EUR,41617.74,INACTIVE
51,39,FR382020333040244222253413,SAVINGS_ACCOUNT,USD,33826.45,ACTIVE
52,39,FR722424448518576130966137,BUSSINESS_ACCOUNT,USD,13961.23,INACTIVE
53,40,PL772384056825215879396987,SAVINGS_ACCOUNT,PLN,24556.99,INACTIVE
54,41,DE282665674062506169810346,SAVINGS_ACCOUNT,PLN,38354.43,INACTIVE
55,42,US988002615135825147990865,CURRENT_ACCOUNT,USD,37493.91,INACTIVE
56,42,US803180731538984065367151,SAVINGS_ACCOUNT,PLN,30391.7,INACTIVE
57,43,FR492743003027246829594698,BUSSINESS_ACCOUNT,PLN,34336.3,ACTIVE
58,44,US974456578274015462342349,CURRENT_ACCOUNT,USD,46982.49,INACTIVE
59,44,US655118297976628700759961,CURRENT_ACCOUNT,USD,44000.49,ACTIVE
60,45,US606760506953247916675442,SAVINGS_ACCOUNT,EUR,47625.91,INACTIVE
61,45,US152177949219092844721854,CURRENT_ACCOUNT,GBP,41268.54,ACTIVE
62,46,GB788461209337866301504538,CURRENT_ACCOUNT,GBP,48940.46,INACTIVE
63,46,GB122622782157543282524110,CURRENT_ACCOUNT,PLN,43835.12,INACTIVE
64,47,PL932322725053377043438539,CURRENT_ACCOUNT,USD,23655.4,ACTIVE
65,47,PL759998397179720742854604,SAVINGS_ACCOUNT,GBP,40692.3,ACTIVE
66,48,GB740752835090324025882789,SAVINGS_ACCOUNT,EUR,21362.87,INACTIVE
67,48,GB609041947176979621220212,CURRENT_ACCOUNT,EUR,11523.57,ACTIVE
68,49,FR836126590299710360024172,CURRENT_ACCOUNT,GBP,46947.86,ACTIVE
69,50,PL595131142788537502036783,SAVINGS_ACCOUNT,GBP,9665.55,INACTIVE
70,50,PL609141022074867925822725,CURRENT_ACCOUNT,USD,9042.72,INACTIVE
71,51,PL744930387045323459207894,BUSSINESS_ACCOUNT,GBP,31096.98,INACTIVE
72,51,PL398702037611114633731645,CURRENT_ACCOUNT,GBP,47182.44,ACTIVE
73,52,FR902058774843435930633860,CURRENT_ACCOUNT,PLN,7210.56,ACTIVE
74,52,FR357227609202627325283524,BUSSINESS_ACCOUNT,GBP,28583.45,INACTIVE
75,53,FR165214387964534448163058,SAVINGS_ACCOUNT,EUR,42236.11,ACTIVE
76,53,FR633734493433849757514331,BUSSINESS_ACCOUNT,USD,33222.02,ACTIVE
77,54,PL991011683880315324371517,BUSSINESS_ACCOUNT,PLN,46497.53,ACTIVE
78,54,PL481816027650877572735706,SAVINGS_ACCOUNT,USD,28433.08,ACTIVE
79,55,FR815791653144375129071136,BUSSINESS_ACCOUNT,USD,38036.74,INACTIVE
80,56,DE314339280686853170609443,SAVINGS_ACCOUNT,USD,12850.33,ACTIVE
81,56,DE166272234352100394570788,CURRENT_ACCOUNT,USD,2170.5,ACTIVE
82,57,DE510388023468204316059812,BUSSINESS_ACCOUNT,GBP,42648.38,ACTIVE
83,57,DE398111437648921734188458,CURRENT_ACCOUNT,GBP,6009.06,INACTIVE
84,58,ES595224394598580748288167,CURRENT_ACCOUNT,PLN,49530.48,INACTIVE
85,59,US922914838052094783308256,CURRENT_ACCOUNT,PLN,41982.57,INACTIVE
86,59,US259332421118723844720107,CURRENT_ACCOUNT,USD,12202.9,INACTIVE
87,60,PL187346034723947891183814,CURRENT_ACCOUNT,EUR,18181.3,ACTIVE
88,60,PL722383422191829512763622,SAVINGS_ACCOUNT,EUR,24399.45,INACTIVE
89,61,GB326243255051668240380790,BUSSINESS_ACCOUNT,GBP,4627.34,ACTIVE
90,62,ES506918406940675687054611,SAVINGS_ACCOUNT,USD,22735.94,ACTIVE
91,63,PL698713328144604078573220,SAVINGS_ACCOUNT,USD,27233.07,INACTIVE
92,64,GB569887133131839174744133,SAVINGS_ACCOUNT,GBP,39749.78,INACTIVE
93,64,GB458900597962847437473826,CURRENT_ACCOUNT,GBP,13207.42,INACTIVE
94,65,GB700290460898645317625163,CURRENT_ACCOUNT,EUR,18101.88,ACTIVE
95,66,GB267818411713630215288091,CURRENT_ACCOUNT,USD,2818.6,INACTIVE
96,66,GB943543478476980316072779,SAVINGS_ACCOUNT,USD,7012.16,ACTIVE
97,67,GB847488850952888995654039,CURRENT_ACCOUNT,EUR,44510.55,INACTIVE
98,67,GB879070554955938353500092,SAVINGS_ACCOUNT,PLN,35252.36,ACTIVE
99,68,FR791455832407510890166178,SAVINGS_ACCOUNT,EUR,46440.59,INACTIVE
100,69,GB932720839320099950097464,CURRENT_ACCOUNT,PLN,8372.16,INACTIVE
101,70,ES767925659074119906987467,BUSSINESS_ACCOUNT,USD,32736.72,INACTIVE
102,70,ES125767751834934829929761,CURRENT_ACCOUNT,GBP,39551.86,INACTIVE
103,71,US912219343436211890380649,SAVINGS_ACCOUNT,USD,17253.74,ACTIVE
104,71,US529761452873693765192981,SAVINGS_ACCOUNT,PLN,47414.79,ACTIVE
105,72,ES184382067369001299874524,BUSSINESS_ACCOUNT,USD,31877.17,ACTIVE
106,73,US675257528496705895308504,SAVINGS_ACCOUNT,USD,19345.8,ACTIVE
107,73,US953091834722013416892186,SAVINGS_ACCOUNT,USD,29721.95,ACTIVE
108,74,PL896702589537560040350249,SAVINGS_ACCOUNT,GBP,29734.07,INACTIVE
109,75,ES980894865255261099327766,SAVINGS_ACCOUNT,GBP,24656.68,INACTIVE
110,75,ES132356863744292288915488,CURRENT_ACCOUNT,USD,22734.33,ACTIVE
111,76,DE703271201359375978957348,CURRENT_ACCOUNT,EUR,45614.54,ACTIVE
112,76,DE855588888981953743685300,CURRENT_ACCOUNT,PLN,18005.99,ACTIVE
113,77,FR322897135147337913117054,CURRENT_ACCOUNT,USD,37790.99,INACTIVE
114,77,FR572682195866860191964991,SAVINGS_ACCOUNT,GBP,34847.73,INACTIVE
115,78,GB752552868724526837958119,CURRENT_ACCOUNT,USD,10922.43,ACTIVE
116,79,FR396835653243864446315381,CURRENT_ACCOUNT,PLN,45517.1,ACTIVE
117,79,FR328561619492672863041675,SAVINGS_ACCOUNT,GBP,24619.09,ACTIVE
118,80,FR165752797181230263805242,CURRENT_ACCOUNT,GBP,20497.08,INACTIVE
119,80,FR988866360854630217615759,BUSSINESS_ACCOUNT,EUR,30137.56,ACTIVE
120,81,FR232184997722767272386227,CURRENT_ACCOUNT,USD,42713.18,ACTIVE
121,82,GB249280423897642173202943,CURRENT_ACCOUNT,GBP,35807.39,INACTIVE
122,82,GB843226360966922559993102,SAVINGS_ACCOUNT,PLN,46091.76,INACTIVE
123,83,US485133091315729129440221,CURRENT_ACCOUNT,USD,39864.85,INACTIVE
124,84,GB361338064902690638881927,CURRENT_ACCOUNT,GBP,39966.91,INACTIVE
125,85,DE936350921090295874459211,SAVINGS_ACCOUNT,USD,33100.25,ACTIVE
126,85,DE886595324448489352909670,CURRENT_ACCOUNT,EUR,4374.41,INACTIVE
127,86,GB466993047156619266020125,SAVINGS_ACCOUNT,PLN,10562.92,INACTIVE
128,87,PL240689491014101593940007,CURRENT_ACCOUNT,EUR,1043.87,INACTIVE
129,87,PL148113325946103716301864,SAVINGS_ACCOUNT,PLN,36366.85,INACTIVE
130,88,ES695460042691101325016494,SAVINGS_ACCOUNT,PLN,40154.9,ACTIVE
131,89,FR869545695512818199125820,CURRENT_ACCOUNT,EUR,42903.27,INACTIVE
132,90,ES178246441200770891757854,CURRENT_ACCOUNT,PLN,17099.85,ACTIVE
133,90,ES576397389655770201878814,SAVINGS_ACCOUNT,USD,23189.99,INACTIVE
134,91,PL682058204077753161226002,BUSSINESS_ACCOUNT,PLN,47367.02,ACTIVE
135,91,PL216975613130190300672781,BUSSINESS_ACCOUNT,USD,49055.04,ACTIVE
136,92,GB445689203432574219727946,SAVINGS_ACCOUNT,EUR,17723.77,INACTIVE
137,93,PL546646793662856810690685,SAVINGS_ACCOUNT,GBP,28346.65,ACTIVE
