customer_id,first_name,last_name,date_of_birth,email,phone_number,country
1,Édouard,Peron,1951-04-08,maggie73@example.com,0579881662,FR
2,Jayne,Dickinson,1993-07-24,kathleen13@example.net,+443069990185,GB
3,Matthew,Tate,2024-09-29,lisalewis@example.com,775.245.9857,US
4,Terry,Stanley,1973-09-14,wgreenwood@example.net,+44(0)116 496 0994,GB
5,Holly,Perez,1982-02-26,jtyler@example.com,4385534625,US
6,Michel,Labbé,1977-02-11,tperrier@example.org,+33 (0)4 15 04 63 62,FR
7,Reece,Murphy,2003-05-26,janewilliams@example.org,+44(0)29 2018 0810,GB
8,Alphonse,Delannoy,1959-04-12,agathenoel@example.com,+33 4 90 59 41 24,FR
9,Elmar,Weller,1928-06-05,qbarkholz@example.org,08229579398,DE
10,Zacharie,Lefort,1998-03-18,anoukpinto@example.net,+33 5 33 73 99 40,FR
11,Jan,Gemza,2017-03-31,wkojder@example.com,+48 572 371 086,PL
12,Damian,Goworek,1931-12-02,dunaljozef@example.org,791 920 858,PL
13,Christina,Young,1983-08-27,aprilphillips@example.net,001-571-993-2303,US
14,Sherri,Campbell,1966-07-27,kristine10@example.org,001-939-891-5984x1053,US
15,Lori,Payne,1958-03-30,glowe@example.com,966-766-8482x61873,US
16,Martine,Grondin,1961-07-25,christophe99@example.org,0516827819,FR
17,Pauline,Léger,1973-03-28,edouard61@example.net,+33 3 53 94 80 96,FR
18,Kenan,Löchel,1936-04-11,philippe61@example.com,+49(0) 530381714,DE
19,Thierry,Carpentier,1943-12-15,erichumbert@example.net,+33 (0)5 58 99 91 68,FR
20,Piotr,Kallert,1946-02-23,blochfriedrich-karl@example.org,0474086291,DE
21,Ksawery,Laskus,1945-01-10,arkadiuszlyjak@example.org,697 018 915,PL
22,Begoña,Arrieta,1922-11-10,clementeprada@example.com,+34841118778,ES
23,Mathilde,Rodrigues,1927-05-10,gsimon@example.com,+33 2 52 40 99 27,FR
24,Inga,Ptok,1956-02-26,bgoliasz@example.org,+48 696 505 428,PL
25,Françoise,Chauvin,1926-06-01,cvaillant@example.net,+33 6 35 33 22 71,FR
26,Sherry,Webb,2014-10-29,nerickson@example.com,(686)934-4178x3186,US
27,Andrés Felipe,Montero,1984-06-18,nestevez@example.com,+34882 29 09 36,ES
28,Helen,Meister,1946-03-10,uvan-der-dussen@example.com,02301 33733,DE
29,Jan,Paździora,1945-01-20,pobiala@example.net,+48 699 572 587,PL
30,Natan,Żółtek,2024-02-11,merchelolga@example.com,+48 792 367 064,PL
31,Anni,Stoll,1928-08-10,ebertsepp@example.org,06711 083086,DE
32,Théodore,Navarro,1941-02-28,franckfournier@example.net,+33 1 81 04 64 48,FR
33,Thibault,Paris,1980-08-30,amaurice@example.com,+33 (0)4 26 62 58 92,FR
34,Kajetan,Kopała,2007-06-30,tymoteuszszajna@example.net,694 384 841,PL
35,Vassilios,Kitzmann,1976-09-27,arthur61@example.org,(01838) 23452,DE
36,Jo,Fröhlich,1918-12-12,ziegertlilly@example.org,+49 (0) 5544 223334,DE
37,Ángeles,Salmerón,1933-09-17,rita88@example.com,+34952 356 893,ES
38,Agnès,Boucher,1985-03-15,hpichon@example.net,02 44 31 01 56,FR
39,Honoré,Ollivier,1987-07-20,astrid86@example.org,+33 (0)2 22 84 27 78,FR
40,Konrad,Kopytko,1914-03-19,kamilbieszke@example.org,783 148 504,PL
41,Filiz,Wilms,1918-03-17,karolahande@example.org,+49 (0) 1800 060786,DE
42,Richard,Quinn,2023-07-11,jacksonalexis@example.net,(643)779-0056,US
43,Thomas,Lesage,1956-12-15,wlegros@example.com,04 82 28 37 83,FR
44,Maria,Reid,2014-11-22,tannerjohnson@example.net,(592)739-9636,US
45,David,Dominguez,1970-06-13,tommy76@example.net,(375)608-6469x0051,US
46,Leigh,Davies,1945-05-09,craigclarke@example.org,01614960768,GB
47,Witold,Hadaś,1973-04-26,klochanastazja@example.net,789 397 268,PL
48,Marie,Grant,1964-05-11,eileenshah@example.org,0808 157 0006,GB
49,Xavier,Le Roux,1999-01-12,jacquotolivier@example.org,03 20 34 08 41,FR
50,Mieszko,Nałęcz,2021-07-14,natankozuszek@example.net,579 330 116,PL
51,Radosław,Baumgart,1978-09-18,oliwierkrzyskow@example.org,+48 733 705 797,PL
52,Margot,Thierry,1976-01-14,celine52@example.com,0473995794,FR
53,Valérie,Descamps,1955-02-07,aimeejacques@example.net,02 97 64 00 39,FR
54,Ewa,Nastaj,2022-04-26,nikodembandyk@example.com,792 235 388,PL
55,Paul,Merle,1914-07-10,navarrotristan@example.com,+33 (0)6 30 89 71 27,FR
56,Grzegorz,Trupp,1941-11-23,schusterraimund@example.net,09514 250282,DE
57,Charlotte,Mülichen,1989-06-04,dowergguenter@example.org,+49(0) 288307046,DE
58,Nacho,Mateu,1917-11-11,tatianatorrijos@example.com,+34 945121420,ES
59,Michele,Evans,1946-01-28,rangeljeffrey@example.com,790-385-1083,US
60,Aleks,Krauza,1989-04-05,maks70@example.com,+48 785 838 133,PL
61,Molly,Holmes,1978-07-12,carole46@example.com,+44(0)20 74960166,GB
62,Encarnita,Pinilla,1953-10-20,vigilestefania@example.org,+34980 725 970,ES
63,Ida,Szywała,1968-06-09,xpyc@example.net,+48 786 985 915,PL
64,Josh,Rose,2000-04-20,eileen20@example.net,0306 999 0289,GB
65,Sophie,Chambers,1914-07-26,tracey00@example.net,+4429 2018150,GB
66,Ben,Dawson,1969-07-10,williamsjoyce@example.org,+44161 496 0725,GB
67,Clifford,Williamson,1966-05-07,mmellor@example.net,(01632) 960 895,GB
68,Adèle,Blanc,2005-02-05,danielleperrot@example.com,0422509374,FR
69,Victoria,Wright,1974-03-06,mclayton@example.org,+44141 496 0833,GB
70,Abilio,Pujol,1932-03-26,jeronimoduran@example.com,+34828190500,ES
71,Wesley,Martin,1973-11-04,ronaldwhite@example.org,001-603-580-7388x5494,US
72,Íngrid,Expósito,1970-11-27,maria-pilarbonet@example.com,+34 879865938,ES
73,Eric,Cameron,2015-02-02,christopher82@example.org,+1-639-391-5653x4113,US
74,Błażej,Sorbian,1965-10-25,witoldspychaj@example.org,721 522 253,PL
75,Natalia,Rodriguez,1990-06-21,adadiaamador@example.net,+34 731 164 293,ES
76,Alexandra,Salz,1961-06-27,xbolander@example.org,07634 117581,DE
77,Jules,Payet,1953-09-29,raymondjoseph@example.org,+33 (0)5 82 21 36 99,FR
78,Stuart,Jones,2011-08-24,fbyrne@example.org,+44(0)292018100,GB
79,Michelle,Schneider,1957-12-08,benardphilippine@example.net,+33 5 62 77 36 02,FR
80,Simone,Blanchard,1992-04-10,emmanuelgrenier@example.com,+33 (0)2 51 49 81 15,FR
81,Maggie,Peron,1917-12-15,denis54@example.org,+33 (0)1 34 02 22 86,FR
82,Timothy,Wood,1928-10-31,sarahfinch@example.com,+44808 157 0393,GB
83,Kathryn,Mason,1988-10-11,christopherlewis@example.net,001-862-655-6687x5562,US
84,Sam,Wright,1946-12-24,annabell@example.com,+44(0)115 4960588,GB
85,Irmhild,Dörschner,1987-07-16,uniemeier@example.com,+49(0)6399 01822,DE
86,Carly,Mitchell,1984-12-03,eric78@example.org,+44(0)1632 960 630,GB
87,Konrad,Wąsiewicz,1929-11-10,konradrasala@example.org,+48 697 417 325,PL
88,Azeneth,Busquets,1914-06-06,uripoll@example.org,+34978 55 66 80,ES
89,Constance,Gosselin,1961-01-21,theresedubois@example.com,03 44 60 86 30,FR
90,Saturnina,Alemán,1932-06-14,bernarditaribes@example.net,+34 878781998,ES
91,Robert,Dzierwa,2024-03-11,wpolakiewicz@example.net,+48 796 375 088,PL
92,Reece,Andrews,1975-06-27,rachaelhall@example.com,+4428 9018271,GB
93,Krystyna,Siudek,2022-08-17,anita06@example.org,+48 665 166 112,PL
94,Noël,Grégoire,1959-09-22,charlesgros@example.net,02 23 51 71 86,FR
95,Konrad,Berendt,1940-07-12,erykosada@example.org,+48 519 989 054,PL
96,Margaux,Descamps,2018-10-13,corinnemace@example.org,02 55 84 39 72,FR
97,Bertrand,Gomez,1966-02-21,fhebert@example.org,05 24 98 59 11,FR
98,Jake,Stewart,1971-05-16,dana04@example.com,(576)965-1082,US
99,Radosław,Sterna,2023-01-28,kamilkulis@example.com,+48 720 866 797,PL
100,Gerhard,Herrmann,1964-12-29,nhuhn@example.org,+49(0)0423693403,DE
